president,nationalism,legislation,2,3,4,peace,6,war,military,war and economics,10,international diplomacy,12,13,14,15,16,provision,18,19,20,21,22,basic needs,24
Gerald-R-Ford-1977,0.042046093,0.0010118044,0.00044969084,0.0082068578,0.020460933,0.049128724,0.0030354132,0.017875211,0.0043844857,0.0037099494,0.051152333,0.030466554,0.00089938168,0.03777403,0.049353569,0,0.010567735,0.027431141,0,0.033726813,0.03777403,0.031365936,0.0095559303,0.026419337,0.01989882
Jimmy-Carter-1978-02,0.000085910653,0,0.001975945,0.01580756,0.023797251,0.014862543,0,0.0011168385,0.0042955326,0.0059278351,0.08943299,0.14243986,0.001975945,0.091666667,0.046477663,0.000085910653,0.0070446735,0.0028350515,0,0.0091924399,0.0073883162,0.040721649,0.023367698,0.041580756,0.0040378007
Jimmy-Carter-1979-01,0.010785953,0.0002090301,0.002173913,0.014297659,0.017307692,0.020819398,0.0026755853,0.002048495,0.0030936455,0.0059782609,0.075334448,0.12821906,0.00025083612,0.081145485,0.045526756,0.00045986622,0.0089046823,0.0064799331,0,0.0098244147,0.01166388,0.039172241,0.017683946,0.046028428,0.00409699
Jimmy-Carter-1980,0.0026500522,0.001296834,0.003834118,0.01544924,0.02289194,0.01888867,0,0.0037213498,0.0026218601,0.007019819,0.077443545,0.13701333,0.00028192044,0.065941191,0.0690987,0.00033830453,0.0087113417,0.0027064362,0.00042288066,0.0094161428,0.0053846804,0.048659468,0.017620028,0.031264977,0.0061458656
Ronald-Reagan-1981,0.017168391,0,0,0.016933208,0.020696143,0.039275635,0,0,0.00023518344,0.013170273,0.051740357,0.012699906,0,0.10700847,0.012229539,0.0028222013,0.012935089,0.079727187,0.0096425212,0.040216369,0.026340546,0.01434619,0.032455315,0.017638758,0.010583255
Jimmy-Carter-1981,0.0030410075,0,0.006450622,0.017416679,0.023037936,0.014314237,0.00021502073,0.0037475042,0.0058362771,0.0097373675,0.083919521,0.13205345,0.0022730763,0.06730149,0.072277684,0.00073721395,0.0088465673,0,0.00033788973,0.0058055598,0.00334818,0.047150975,0.018461066,0.037567194,0.0090615881
Ronald-Reagan-1982,0.037720706,0,0.0014044944,0.0084269663,0.028491172,0.042134831,0.0012038523,0.0062199037,0.00040128411,0.00020064205,0.035714286,0.0098314607,0.0056179775,0.063603531,0.024478331,0,0.0032102729,0.066813804,0.0062199037,0.065208668,0.050361156,0.020666132,0.019060995,0.017255217,0.02829053
Ronald-Reagan-1983,0.029001673,0,0,0.0092954081,0.022494888,0.04350251,0,0.0053913367,0,0.0091094999,0.03941253,0.023052612,0.0035322551,0.036438,0.03439301,0.00037181632,0.0033463469,0.069157836,0.0066926938,0.056701989,0.053355642,0.036995724,0.0070645101,0.01617401,0.015244469
Ronald-Reagan-1984,0.06382532,0.0050388411,0.00062985513,0.0018895654,0.016796137,0.04786899,0,0.015536427,0,0,0.023724543,0.010077682,0.0041990342,0.016586185,0.029603191,0.001469662,0.0096577787,0.094688222,0,0.0491287,0.079361747,0.030442998,0.014066765,0.01595633,0.02330464
Ronald-Reagan-1985,0.044809011,0.0036728697,0,0,0.022771792,0.061704212,0.00048971596,0.02179236,0.00073457395,0.0046523017,0.02301665,0.018364349,0,0.030117532,0.019343781,0,0.0051420176,0.097698335,0,0.066601371,0.080803134,0.021302644,0.0051420176,0.010528893,0.015426053
Ronald-Reagan-1986,0.074807806,0,0.00059136606,0,0.012123004,0.063571851,0,0.020993495,0.0011827321,0.0020697812,0.020402129,0.0038438794,0.0047309284,0.012123004,0.025724423,0,0,0.10467179,0,0.070963927,0.082495565,0.022176227,0,0.0053222945,0.019810763
